@_hannahdonovan,"RT @LoisShearing: 66% of bi women have experienced sexual violence &amp; 1 in 2 have experienced DV, so don't ask why I'm so mad. #MeToo #UsToo",http://twitter.com/_hannahdonovan/status/920219302636195841,"October 17, 2017 at 02:55PM"
@Sibel_Yasini,"RT @regner_asa: Det här är inte privata berättelser, det handlar om ett samhällsproblem. #metoo
https://t.co/M1bU7D3XrJ",http://twitter.com/Sibel_Yasini/status/920219303261155328,"October 17, 2017 at 02:55PM"
@yehudit1020,"#LetUsPlaceCreditWhereItBELONGS! #TenYrsAGO, #ThisSistahCREATED .. the ""#MeTOO"" Campaign .. #prior to Weinstein's episodes! 👉🏾#MeTOO!👈🏾👇🏽👇🏽",http://twitter.com/yehudit1020/status/920219304473198592,"October 17, 2017 at 02:55PM"
@YgritteFire,"Na přechodu mne cizí muž při míjení chytil oběma rukama za prsa.
V tramvaji mi jiný strkal pod nos video, na kterém masturboval
#MeToo",http://twitter.com/YgritteFire/status/920219306071388160,"October 17, 2017 at 02:55PM"
@CountRazoff,"RT @naistenlinja: Kaikille teille, joiden #MeToo -kokemuksia vähäteltiin. Me uskomme sinua. Me tuemme sinua. Olet arvokas. Häirinnästä vastuu on tekijällä.",http://twitter.com/CountRazoff/status/920219306398552064,"October 17, 2017 at 02:55PM"
@RoxonJo,"RT @apbenven: Reminder that if a woman didn't post #MeToo, it doesn't mean she wasn't sexually assaulted or harassed. Survivors don't owe you their story.",http://twitter.com/RoxonJo/status/920219309196001285,"October 17, 2017 at 02:55PM"
@D________R,#MeToo,http://twitter.com/D________R/status/920219310664048643,"October 17, 2017 at 02:55PM"
@rajamaan1,#TT en #Colombia -  #MeToo #DíaMundialDeLaAlimentación #CUMIPAZ,http://twitter.com/rajamaan1/status/920219315307151361,"October 17, 2017 at 02:55PM"
@Sparx64,"RT @yasssmean: #MeToo I was groped outside the kaabah, the holiest place in the world, while wearing a black abaya and hijab and no makeup.",http://twitter.com/Sparx64/status/920219318809481216,"October 17, 2017 at 02:55PM"
@I0I00II0I0,"@ErnoldJohnson @shoe0nhead #HowIWillChange #MeToo

The subtext reinforces gender malagency and continues the trend… https://t.co/4jIMxBw0K9",http://twitter.com/I0I00II0I0/status/920219319233077248,"October 17, 2017 at 02:55PM"
@Balto_Slav,"RT @LadyLSpeaks: This is what a fraud looks like.
#MeToo little, too late.
#HarveyWeinsten #AshleyJudd https://t.co/xsaHlUTy27",http://twitter.com/Balto_Slav/status/920219319841230848,"October 17, 2017 at 02:55PM"
@feliciavdw,"RT @BrotherJulius83: To all the #MeToo's, I believe you.",http://twitter.com/feliciavdw/status/920219320730386433,"October 17, 2017 at 02:55PM"
@elo_gp,Mon prof de physique en 4ème qui m’appelait Pamela parce que j’avais une forte poitrine! Au collège!!! #balancetonporc M.Coulon #metoo,http://twitter.com/elo_gp/status/920219321397325825,"October 17, 2017 at 02:55PM"
@LarsMild,"RT @REDWHlTEBOOZE: sexual
assault 
is
never 
the 
victims
fault
#MeToo",http://twitter.com/LarsMild/status/920219328464777217,"October 17, 2017 at 02:55PM"
@yehudit1020,"RT @yehudit1020: #LetUsPlaceCreditWhereItBELONGS! #TenYrsAGO, #ThisSistahCREATED .. the ""#MeTOO"" Campaign .. #prior to Weinstein's episodes! 👉🏾#MeTOO!👈🏾👇🏽👇🏽",http://twitter.com/yehudit1020/status/920219332529020928,"October 17, 2017 at 02:56PM"
@SMerlChest,"RT @apbenven: Reminder that if a woman didn't post #MeToo, it doesn't mean she wasn't sexually assaulted or harassed. Survivors don't owe you their story.",http://twitter.com/SMerlChest/status/920219333846069248,"October 17, 2017 at 02:56PM"
@SGPerth,#MeToo,http://twitter.com/SGPerth/status/920219334454022144,"October 17, 2017 at 02:56PM"
@VargsEdgar,"RT @apbenven: Reminder that if a woman didn't post #MeToo, it doesn't mean she wasn't sexually assaulted or harassed. Survivors don't owe you their story.",http://twitter.com/VargsEdgar/status/920219336861655040,"October 17, 2017 at 02:56PM"
@SandyV1,#MeToo,http://twitter.com/SandyV1/status/920219337700421632,"October 17, 2017 at 02:56PM"
@Little_Iris_,"RT @MorrisTruth: We wouldn't be telling men to protect women if we taught them to respect them in the first place 

#MeToo",http://twitter.com/Little_Iris_/status/920219338258468864,"October 17, 2017 at 02:56PM"
@jpjanson,"RT @SistersUncut: in March 2016, 4000 survivors who said #MeToo were on waiting lists for support from @RapeCrisisEandW - because of a lack of funding.",http://twitter.com/jpjanson/status/920219339164454912,"October 17, 2017 at 02:56PM"
@Lizzie_Brindley,"RT @GraceStarling4: For those carrying their #MeToo with them silently, you are loved, cherished, and believed. You do not owe your story to anyone.",http://twitter.com/Lizzie_Brindley/status/920219340431134720,"October 17, 2017 at 02:56PM"
@PokeBonnie,"RT @shannonmstirone: Let me just cut to the chase with the #metoo trend. Dear men, nearly every woman you know has been sexually assaulted or harassed.",http://twitter.com/PokeBonnie/status/920219340510707712,"October 17, 2017 at 02:56PM"
@AloHuester,RT @OneJaxson: Thank you to @rosemcgowan @Alyssa_Milano with #MeToo @AnnaPaquin and hundreds of thousands who have brought attenti… https://t.co/vAdfMzfM5M,http://twitter.com/AloHuester/status/920219342083588097,"October 17, 2017 at 02:56PM"
@MadSundell,"Möjlighet för män att haka på! Bravo👊🏼 Det är möjligt och det börjar med ett steg! 
#metoo #fattanu #makequal https://t.co/wV5lNs1O7l",http://twitter.com/MadSundell/status/920219342326980608,"October 17, 2017 at 02:56PM"
@ItsTauOk,"RT @billboard: Lady Gaga, Sheryl Crow and more tweet #MeToo to raise awareness for sexual assault https://t.co/8eDzbye4ty https://t.co/R2oQ78bxwQ",http://twitter.com/ItsTauOk/status/920219342385577984,"October 17, 2017 at 02:56PM"
@iamshehzaib,"#MeToo
That's the point https://t.co/cz4erqdKvN",http://twitter.com/iamshehzaib/status/920221295320674304,"October 17, 2017 at 03:03PM"
@ophieoNo,"RT @RaquelWillis_: Just So We're Clear, #MeToo Was Started By A Black Woman. Know her name: Tarana Burke. https://t.co/SJkujhhojx",http://twitter.com/ophieoNo/status/920221295991717888,"October 17, 2017 at 03:03PM"
@Bigheartlilbutt,"RT @apbenven: Reminder that if a woman didn't post #MeToo, it doesn't mean she wasn't sexually assaulted or harassed. Survivors don't owe you their story.",http://twitter.com/Bigheartlilbutt/status/920221299313692672,"October 17, 2017 at 03:03PM"
@anders_edstrom,"RT @linnea_claeson: #MeToo Alla känner en kvinna som utsatts för sexuellt våld, men ingen känner en våldtäktsman...........",http://twitter.com/anders_edstrom/status/920221299334672384,"October 17, 2017 at 03:03PM"
@Brianna_daSilva,"RT @mrbenjaminlaw: Guys, it's our turn. 

After yesterday's endless #MeToo stories of women being abused, assaulted and harassed, today we say #HowIWillChange.",http://twitter.com/Brianna_daSilva/status/920221299443687425,"October 17, 2017 at 03:03PM"
@netpraxis,"#MeToo
I don't want to share the detail but it happens to too many of us in many different circumstances, the fear of speaking up is immense",http://twitter.com/netpraxis/status/920221300605382656,"October 17, 2017 at 03:03PM"
@allthingspoetic,"At a raucous market, a quiet alley. A crass stranger, a family friend? Somethings stay with us forever. #MeToo https://t.co/txFTeBLlYf",http://twitter.com/allthingspoetic/status/920221302136373248,"October 17, 2017 at 03:03PM"
@der_johannsen,Wie hätte die Dame von heute denn gern das Anbahnen einer heterosexuellen cis-Beziehung? #Aufschrei #metoo,http://twitter.com/der_johannsen/status/920221303419932673,"October 17, 2017 at 03:03PM"
@_rhcale,"RT @apbenven: Reminder that if a woman didn't post #MeToo, it doesn't mean she wasn't sexually assaulted or harassed. Survivors don't owe you their story.",http://twitter.com/_rhcale/status/920221305844113408,"October 17, 2017 at 03:03PM"
@b0yblunder,"RT @natepthomps: When it comes to the #MeToo movement, I see men wondering what they can “do to help.” This is my list.
1. Be quiet.… https://t.co/Q1Q6r7ruaa",http://twitter.com/b0yblunder/status/920221308243255297,"October 17, 2017 at 03:03PM"
@BuecherGoere,"RT @apbenven: Reminder that if a woman didn't post #MeToo, it doesn't mean she wasn't sexually assaulted or harassed. Survivors don't owe you their story.",http://twitter.com/BuecherGoere/status/920221310130716672,"October 17, 2017 at 03:03PM"
